库名,表名,路径,du B,du TB,使用者,业务线,目录属主,目录属组,文件数量,分区格式,保留周期（天）,已配置TTL
1v1,bigo_happy_hour_order_stat,/flume/1v1/bigo_happy_hour_order_stat,,,hadoop,,hadoop,,,,,
1v1,bigo_happy_hour_login_stat,/flume/1v1/bigo_happy_hour_login_stat,1397421,1.27095E-06,hadoop,,,,,,,
algo,live_stats_kafka_d_miclink,/flume/bigolive/live_stats_kafka_d-miclink,2.24261E+12,2.039640353,hadoop,,,,,,,
algo,rec_broadcaster_time_d_orc,/recommend/hive/algo.db/rec_broadcaster_time_d_orc,9783979854,0.008898478,chenhuafeng,,chenhuafeng,hdfs,,,,
algo,rec_broadcaster_time_3d_orc,/recommend/hive/algo.db/rec_broadcaster_time_3d_orc,19876868604,0.018077907,chenhuafeng,,chenhuafeng,hdfs,,,,
algo,rec_broadcaster_time_7d_orc,/recommend/hive/algo.db/rec_broadcaster_time_7d_orc,33778895211,0.030721726,chenhuafeng,,chenhuafeng,hdfs,,,,
algo,rec_broadcaster_time_14d_orc,/recommend/hive/algo.db/rec_broadcaster_time_14d_orc,54032347572,0.049142134,chenhuafeng,,chenhuafeng,hdfs,,,,
algo,rec_shower_first_show_time_from_stat_d,/recommend/hive/algo.db/rec_shower_first_show_time_from_stat_d,2.43476E+12,2.214398144,hadoop,,hadoop,hdfs,,,,
algo,video_weight,/recommend/hive/algo.db/video_weight,48,4.36557E-11,zhanghang,,zhanghang,hdfs,,,,
algo,rec_imactive_all_users_30d_orc,/recommend/hive/algo.db/rec_imactive_all_users_30d_orc,1.0825E+11,0.098453242,zhanghang,,zhanghang,hdfs,,,,
algo,rec_viewer_android_offline_push_stat_d_orc_new,/recommend/hive/algo.db/rec_viewer_android_offline_push_stat_d_orc_new,29897622462,0.027191729,penglinfeng,,penglinfeng,hdfs,,,,
algo,rec_viewer_android_offline_push_stat_7d_orc_new,/recommend/hive/algo.db/rec_viewer_android_offline_push_stat_7d_orc_new,55386824919,0.050374024,penglinfeng,,penglinfeng,hdfs,,,,
algo,rec_viewer_android_offline_push_stat_with_tz_orc_new,/recommend/hive/algo.db/rec_viewer_android_offline_push_stat_with_tz_orc_new,1.35038E+11,0.122816727,penglinfeng,,penglinfeng,hdfs,,,,
algo,rec_viewer_all_offline_push_stat_d_orc,/recommend/hive/algo.db/rec_viewer_all_offline_push_stat_d_orc,8.28975E+11,0.753948533,penglinfeng,,penglinfeng,hdfs,,,,
algo,rec_viewer_all_offline_push_stat_7d_orc,/recommend/hive/algo.db/rec_viewer_all_offline_push_stat_7d_orc,6.88408E+11,0.626103053,penglinfeng,,penglinfeng,hdfs,,,,
algo,rec_viewer_all_offline_push_stat_with_tz_orc,/recommend/hive/algo.db/rec_viewer_all_offline_push_stat_with_tz_orc,2.18514E+11,0.198737399,penglinfeng,,penglinfeng,hdfs,,,,
algo,user_countrycode_bak,/recommend/hive/algo.db/user_countrycode_bak,55976347143,0.050910191,alg_push,,jinzigang,hdfs,,,,
algo,like_user_rank_country_150,/recommend/hive/algo.db/like_user_rank_country_150,1409638731,0.001282059,jinzigang,,jinzigang,hdfs,,,,
algo,like_user_rank_county,/recommend/hive/algo.db/like_user_rank_county,1.00578E+11,0.091474766,jinzigang,,jinzigang,hdfs,,,,
algo,rec_like_new_star_banyun_orc_2,/recommend/hive/algo.db/rec_like_new_star_banyun_orc_2,67431387948,0.06132849,chenhuafeng,,chenhuafeng,hdfs,,,,
