目录,du B,du TB,文件数量,分区格式,保留周期（天）,已配置TTL,业务线,使用者,目录属主,目录属组,数据接入方式,离线/在线迁移,Client版本,迁移状态
/data/hive/indigo_mediate_tb.db/indigo_relation_buddylink_day,"1,352,670,000,000,000",1230.249,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_ad_show_stable_mediate,"873,595,000,000,000",794.530,,,,,,,zoutianyu,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_uid_friends_info_day,"734,931,000,000,000",668.416,,,,,,,zhuangxiaoyi,hdfs,,,,
/data/hive/indigo_mediate_tb.db/abflag_for_client_abtest,"511,374,000,000,000",465.092,,,,,,,yangzehui,hdfs,,,,
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_total_start_call_netstate_day_mediate_not_answered,"164,622,000,000,000",149.723,,,,,,,wangyakun,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_story_show_detail_day,"156,564,000,000,000",142.394,,,,,,,zhuangxiaoyi,hdfs,,,,
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_total_start_call_netstate_day_mediate_not_answered_audio,"107,772,000,000,000",98.018,,,,,,,wangyakun,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_apps_mediate,"105,721,000,000,000",96.152,,,,,,,zoutianyu,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_rec_show_event_orc,"101,786,000,000,000",92.574,,,,,,,wangyunfei1,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_story_stream_detail_day,"99,010,400,000,000",90.049,,,,,,,zhuangxiaoyi,hdfs,,,,
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_total_start_call_netstate_day_mediate_completed,"92,330,800,000,000",83.974,,,,,,,wangyakun,hdfs,,,,
/data/hive/indigo_mediate_tb.db/wf_zhangxin8_biggroup_opengroupchat_total_day,"85,507,400,000,000",77.769,,,,,,,zhangxin8,hdfs,,,,
/data/hive/indigo_mediate_tb.db/wf_wangyakun_indigo_av_start_time_day1,"61,229,500,000,000",55.688,,,,,,,wangyakun,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_mawenying_pin_observed_user_activity,"58,546,300,000,000",53.248,,,,,,,mawenying,hdfs,,,,
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_total_start_call_netstate_day_mediate_completed_audio,"55,414,100,000,000",50.399,,,,,,,wangyakun,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_heshuting_version_union_table_day,"51,184,900,000,000",46.552,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_total_start_call_netstate_day_mediate_not_answered_video,"45,111,400,000,000",41.029,,,,,,,wangyakun,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_abflag_for_ios_client_abtest,"43,844,700,000,000",39.876,,,,,,,zoutianyu,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_limingjun_bl_im_open_event_day,"35,714,900,000,000",32.482,,,,,,,limingjun,hdfs,,,,
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_total_start_call_netstate_day_mediate_completed_video,"30,596,800,000,000",27.828,,,,,,,wangyakun,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_wyf_uid_last_login_day_hour,"28,910,100,000,000",26.294,,,,,,,wangyunfei,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_story_view_detail_day,"28,804,300,000,000",26.197,,,,,,,zhuangxiaoyi,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_limingjun_bl_im_send_event_day,"27,263,400,000,000",24.796,,,,,,,limingjun,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_wyf_imo_uid_last_login_day,"23,704,500,000,000",21.559,,,,,,,wangyunfei,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_wyf_contect_type_day,"22,265,600,000,000",20.250,,,,,,,wangyunfei1,hdfs,,,,
