目录,du B,du TB,目录属主,目录属组
/data/hive/indigo_mediate_tb.db/indigo_relation_buddylink_day,114895872.00,1230.249,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_ad_show_stable_mediate,-1348006400.00,794.53,zoutianyu,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_uid_friends_info_day,1966112256.00,668.416,zhuangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/abflag_for_client_abtest,-1986130944.00,465.092,yangzehui,hdfs
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_total_start_call_netstate_day_mediate_not_answered,198511616.00,149.723,wangyakun,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_story_show_detail_day,-442841088.00,142.394,zhuangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_total_start_call_netstate_day_mediate_not_answered_audio,-1614358528.00,98.018,wangyakun,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_apps_mediate,380008960.00,96.152,zoutianyu,hdfs
/data/hive/indigo_mediate_tb.db/indigo_rec_show_event_orc,-429947904.00,92.574,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_story_stream_detail_day,-1481074688.00,90.049,zhuangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_total_start_call_netstate_day_mediate_completed,1888037888.00,83.974,wangyakun,hdfs
/data/hive/indigo_mediate_tb.db/wf_zhangxin8_biggroup_opengroupchat_total_day,-1103896064.00,77.769,zhangxin8,hdfs
/data/hive/indigo_mediate_tb.db/wf_wangyakun_indigo_av_start_time_day1,446228224.00,55.688,wangyakun,hdfs
/data/hive/indigo_mediate_tb.db/indigo_mawenying_pin_observed_user_activity,1600788224.00,53.248,mawenying,hdfs
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_total_start_call_netstate_day_mediate_completed_audio,431947008.00,50.399,wangyakun,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_version_union_table_day,1774733568.00,46.552,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_total_start_call_netstate_day_mediate_not_answered_video,1358490112.00,41.029,wangyakun,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_abflag_for_ios_client_abtest,1673842432.00,39.876,zoutianyu,hdfs
/data/hive/indigo_mediate_tb.db/indigo_limingjun_bl_im_open_event_day,-2048033536.00,32.482,limingjun,hdfs
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_total_start_call_netstate_day_mediate_completed_video,-547016704.00,27.828,wangyakun,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_uid_last_login_day_hour,675130624.00,26.294,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_story_view_detail_day,-2045654272.00,26.197,zhuangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/indigo_limingjun_bl_im_send_event_day,-1052395008.00,24.796,limingjun,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_imo_uid_last_login_day,575493376.00,21.559,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_contect_type_day,489537536.00,20.25,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_uid_last_login_day,341426944.00,19.282,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_contect_detail_day_imo_dau,1415663616.00,17.4,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_uid_login_last90day_day,1899711488.00,16.689,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_limingjun_bl_chats_menu_day,698857472.00,15.989,limingjun,hdfs
/data/hive/indigo_mediate_tb.db/indigo_jiangjing_worldfeed_uid_all_vv_info,1140681472.00,15.013,jiangjing,hdfs
/data/hive/indigo_mediate_tb.db/indigo_lmj_ad_chatlist_firstscreen_tmpad00,-532592640.00,14.023,limingjun,hdfs
/data/hive/indigo_mediate_tb.db/imo_feed_abtest_client_info,-757756160.00,14.003,zhangyangjiang,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_stable_0_60_latest_version_day,262828800.00,13.477,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_feed_uid_vv_strategy_hour,1568969728.00,13.017,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_uid_phone_cc_day,827854080.00,12.286,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_relation_1v1_day,-1008028928.00,12.179,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_action_day,115826432.00,12.043,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_userid_last_login_day,-2059664128.00,11.983,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_imo_likee_uid_day,-1505612544.00,11.87,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_ad_userid_detail_hour,779289344.00,11.86,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_userid_first_login_day,981705728.00,11.552,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_uid_first_login_day,2048893184.00,11.217,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_user_base_info,-1407774720.00,11.014,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_imo_uid_first_login_rank_day,1016080640.00,10.88,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_im_calls_linkfor_stranger,-1311045120.00,10.624,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/imo_daily_user_fuction_info,1271894528.00,10.38,yangzehui,hdfs
/data/hive/indigo_mediate_tb.db/wf_zhangxin8_biggroup_levelup_all_day,-1509936896.00,10.159,zhangxin8,hdfs
/data/hive/indigo_mediate_tb.db/indigo_feed_uid_vv_strategy_day,964899584.00,10.142,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_lmj_ad_chatlist_firstscreen_tmpdau00,-1740987136.00,9.436,limingjun,hdfs
/data/hive/indigo_mediate_tb.db/temp_vapour_pin_send_im2,-1693276416.00,9.163,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_feed_userid_first_page_view_day,893907328.00,8.231,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_language_call_link_hour,-256419712.00,8.191,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_version_union_day,-718512768.00,7.941,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/imo_uid_bigo_uid_id_mapping_day,1824623104.00,7.72,yangzehui,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_uid_friends_info_day_temp,1943249536.00,7.556,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_premium_mediate,1596450816.00,7.341,zoutianyu,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_contect_detail_day_imo_7,-1898908928.00,7.295,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_start_imo_uid,2134357760.00,7.092,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/user_action_info_all_orc_v2,-972898816.00,6.819,yangzehui,hdfs
/data/hive/indigo_mediate_tb.db/wf_indigo_zhangxin8_chatroom_joinsuc_wait_total_day,986774144.00,6.782,zhangxin8,hdfs
/data/hive/indigo_mediate_tb.db/indigo_strategy_monitor_play_basis_hour,1965400576.00,6.619,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_feed_uid_vv_strategy_day_abflag,340106240.00,6.582,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yuanyang_imozone_imo_retention_all_mid_day,-101790592.00,6.355,yuanyang,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zxy_uid_friends_info_0,962457216.00,6.267,zhuangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/wf_zhangxin8_joinchannel_until_day,-903625728.00,5.538,zhangxin8,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yuanyang_imozone_imo_before_all_mid_day,-879901184.00,5.386,yuanyang,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_contect_uid_day,1517940352.00,5.13,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_uid_last_login_day,-1147550208.00,5.069,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_contect_detail_day_imo_30,1140749184.00,4.868,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_feed_uid_vv_day,170160512.00,4.797,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/imo_uid_activity_minute_day,-790297344.00,4.741,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_model_base_info,-2097357696.00,4.494,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_active_time_uid,1421530368.00,4.365,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_feed_last_getentry_day,-1060235648.00,4.151,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_perlost_users_day,-2145399168.00,4.131,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_imo_uid_push_ab_day,-715857024.00,4.077,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_feed_detail_follow_status_day,498456192.00,3.997,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_version_day,-1072001664.00,3.94,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_limingjun_feed_entry_accum1,-1542590336.00,3.87,limingjun,hdfs
