库名,表名,路径,du B（不准确）,du TB,使用者,业务线,目录属主,目录属组,文件数量,分区格式,保留周期（天）,已配置TTL
1v1,bigo_happy_hour_order_stat,/flume/1v1/bigo_happy_hour_order_stat,,,hadoop,,hadoop,,,,,
1v1,bigo_happy_hour_login_stat,/flume/1v1/bigo_happy_hour_login_stat,1397421,1.27095E-06,hadoop,,,,,,,
algo,live_stats_kafka_d_miclink,/flume/bigolive/live_stats_kafka_d-miclink,2.24261E+12,2.039640353,hadoop,,,,,,,
algo,rec_broadcaster_time_d_orc,/recommend/hive/algo.db/rec_broadcaster_time_d_orc,1194045262,0.009,chenhuafeng,,chenhuafeng,hdfs,,,,
algo,rec_broadcaster_time_3d_orc,/recommend/hive/algo.db/rec_broadcaster_time_3d_orc,-1597967876,0.018,chenhuafeng,,chenhuafeng,hdfs,,,,
algo,rec_broadcaster_time_7d_orc,/recommend/hive/algo.db/rec_broadcaster_time_7d_orc,-580843157,0.031,chenhuafeng,,chenhuafeng,hdfs,,,,
algo,rec_broadcaster_time_14d_orc,/recommend/hive/algo.db/rec_broadcaster_time_14d_orc,-1802227276,0.049,chenhuafeng,,chenhuafeng,hdfs,,,,
algo,rec_shower_first_show_time_from_stat_d,/recommend/hive/algo.db/rec_shower_first_show_time_from_stat_d,-486456832,2.214,hadoop,,hadoop,hdfs,,,,
algo,video_weight,/recommend/hive/algo.db/video_weight,48,0,zhanghang,,zhanghang,hdfs,,,,
algo,rec_imactive_all_users_30d_orc,/recommend/hive/algo.db/rec_imactive_all_users_30d_orc,875817600,0.098,zhanghang,,zhanghang,hdfs,,,,
algo,rec_viewer_android_offline_push_stat_d_orc_new,/recommend/hive/algo.db/rec_viewer_android_offline_push_stat_d_orc_new,-167148610,0.027,penglinfeng,,penglinfeng,hdfs,,,,
algo,rec_viewer_android_offline_push_stat_7d_orc_new,/recommend/hive/algo.db/rec_viewer_android_offline_push_stat_7d_orc_new,-447749929,0.05,penglinfeng,,penglinfeng,hdfs,,,,
algo,rec_viewer_android_offline_push_stat_with_tz_orc_new,/recommend/hive/algo.db/rec_viewer_android_offline_push_stat_with_tz_orc_new,1894013824,0.123,penglinfeng,,penglinfeng,hdfs,,,,
algo,rec_viewer_all_offline_push_stat_d_orc,/recommend/hive/algo.db/rec_viewer_all_offline_push_stat_d_orc,46311872,0.754,penglinfeng,,penglinfeng,hdfs,,,,
algo,rec_viewer_all_offline_push_stat_7d_orc,/recommend/hive/algo.db/rec_viewer_all_offline_push_stat_7d_orc,1213232640,0.626,penglinfeng,,penglinfeng,hdfs,,,,
algo,rec_viewer_all_offline_push_stat_with_tz_orc,/recommend/hive/algo.db/rec_viewer_all_offline_push_stat_with_tz_orc,-529332096,0.199,penglinfeng,,penglinfeng,hdfs,,,,
algo,user_countrycode_bak,/recommend/hive/algo.db/user_countrycode_bak,141772295,0.051,alg_push,,jinzigang,hdfs,,,,
algo,like_user_rank_country_150,/recommend/hive/algo.db/like_user_rank_country_150,1409638731,0.001,jinzigang,,jinzigang,hdfs,,,,
algo,like_user_rank_county,/recommend/hive/algo.db/like_user_rank_county,1793752192,0.091,jinzigang,,jinzigang,hdfs,,,,
algo,rec_like_new_star_banyun_orc_2,/recommend/hive/algo.db/rec_like_new_star_banyun_orc_2,-1288088788,0.061,chenhuafeng,,chenhuafeng,hdfs,,,,
